#PVF_File

[Revision Table]
	`character`
	42.82	60	22.6	42.7	42.7	41.6	37.62	5.29	5.29	5.29	5.29	41.11	42	41.11	30.24
	30	17.35	26.89	26.92	26.47	24.79	4.76	4.76	4.76	4.76	29.03	21.15	29.03	23.26	20
	14.08	19.64	19.65	19.41	18.5	4.33	4.33	4.33	4.33	22.33	14.2	22.33	18.82	15	11.85
	15.46	15.48	15.33	14.76	3.97	3.97	3.97	3.97	18.07	10.73	18.07	15.75	12	10.23	12.76
	12.77	12.67	12.28	3.66	3.66	3.66	3.66	15.12	8.64	15.12	13.51	10	9	10.85	10.86
	10.79	10.51	3.4	3.4	3.4	3.4	12.96	7.25	12.96	11.79	8.57	8.03	9.45	9.45	9.4
	9.19	3.17	3.17	3.17	3.17	11.32	6.26	11.32	10.44	7.5	7.25	8.36	8.37	8.33	8.17
	2.98	2.98	2.98	2.98	10.02	5.52	10.02	9.34	6.67	6.61	7.5	7.5	7.47	7.35	2.8
	2.8	2.8	2.8	8.97	4.94	8.97	8.44	6	6.07	6.8	6.8	6.78	6.67	2.64	2.64
	2.64	2.64	8.11	4.47	8.11	7.69	5.45	5.62	6.22	6.22	6.2	6.12	2.51	2.51	2.51
	2.51	7.38	4.1	7.38	7.05	5	5.23	5.73	5.73	5.72	5.64	2.38	2.38	2.38	2.38
	6.77	3.78	6.77	6.5	4.62	4.88	5.31	5.31	5.3	5.24	2.27	2.27	2.27	2.27	6.24
	3.51	6.24	6.02	4.29	4.58	4.95	4.95	4.94	4.89	2.16	2.16	2.16	2.16	5.78	3.28
	5.78	5.6	4	4.32	4.64	4.64	4.63	4.58	2.07	2.07	2.07	2.07	5.37	3.08	5.37
	5.23	3.75	4.08	4.36	4.36	4.35	4.31	1.98	1.98	1.98	1.98	5.02	2.91	5.02	4.9
	3.53	3.87	4.11	4.11	4.11	4.07	1.9	1.9	1.9	1.9	4.7	2.76	4.7	4.6	3.33
	3.68	3.89	3.89	3.89	3.86	1.83	1.83	1.83	1.83	4.42	2.62	4.42	4.33	3.16	3.51
	3.7	3.7	3.69	3.66	1.76	1.76	1.76	1.76	4.16	2.5	4.16	4.09	3	3.35	3.52
	3.52	3.51	3.49	1.7	1.7	1.7	1.7	3.93	2.39	3.93	3.88	2.86	3.21	3.36	3.36
	3.35	3.33	1.64	1.64	1.64	1.64	3.72	2.29	3.72	3.68	2.73	3.08	3.21	3.21	3.2
	3.19	1.59	1.59	1.59	1.59	3.53	2.2	3.53	3.49	2.61	2.95	3.07	3.07	3.07	3.05
	1.54	1.54	1.54	1.54	3.36	2.12	3.36	3.33	2.5	2.84	2.95	2.95	2.94	2.93	1.49
	1.49	1.49	1.49	3.19	2.04	3.19	3.17	2.4	2.74	2.83	2.83	2.83	2.82	1.44	1.44
	1.44	1.44	3.05	1.97	3.05	3.03	2.31	2.64	2.73	2.73	2.72	2.71	1.4	1.4	1.4
	1.4	2.91	1.91	2.91	2.9	2.22	2.55	2.63	2.63	2.63	2.62	1.36	1.36	1.36	1.36
	2.78	1.85	2.78	2.78	2.14	2.47	2.54	2.54	2.54	2.53	1.32	1.32	1.32	1.32	2.67
	1.79	2.67	2.66	2.07	2.39	2.45	2.45	2.45	2.44	1.29	1.29	1.29	1.29	2.56	1.74
	2.56	2.56	2	2.31	2.37	2.37	2.37	2.36	1.25	1.25	1.25	1.25	2.45	1.69	2.45
	2.46	1.94	2.24	2.3	2.3	2.3	2.29	1.22	1.22	1.22	1.22	2.36	1.65	2.36	2.36
	1.88	2.18	2.23	2.23	2.23	2.22	1.19	1.19	1.19	1.19	2.27	1.61	2.27	2.27	1.82
	2.12	2.16	2.16	2.16	2.15	1.16	1.16	1.16	1.16	2.18	1.57	2.18	2.19	1.76	2.06
	2.1	2.1	2.1	2.09	1.13	1.13	1.13	1.13	2.1	1.53	2.1	2.11	1.71	2	2.04
	2.04	2.04	2.03	1.11	1.11	1.11	1.11	2.03	1.5	2.03	2.04	1.67	1.95	1.98	1.98
	1.98	1.98	1.08	1.08	1.08	1.08	1.96	1.46	1.96	1.97	1.62	1.9	1.93	1.93	1.93
	1.93	1.06	1.06	1.06	1.06	1.89	1.43	1.89	1.91	1.58	1.85	1.88	1.88	1.88	1.88
	1.03	1.03	1.03	1.03	1.83	1.4	1.83	1.85	1.54	1.81	1.83	1.83	1.83	1.83	1.01
	1.01	1.01	1.01	1.77	1.37	1.77	1.79	1.5	1.77	1.79	1.79	1.79	1.79	0.99	0.99
	0.99	0.99	1.72	1.35	1.72	1.73	1.46	1.73	1.75	1.75	1.75	1.74	0.97	0.97	0.97
	0.97	1.66	1.32	1.66	1.68	1.43	1.69	1.71	1.71	1.71	1.7	0.95	0.95	0.95	0.95
	1.61	1.3	1.61	1.63	1.4	1.65	1.67	1.67	1.67	1.66	0.93	0.93	0.93	0.93	1.56
	1.27	1.56	1.58	1.36	1.61	1.63	1.63	1.63	1.63	0.92	0.92	0.92	0.92	1.52	1.25
	1.52	1.53	1.33	1.58	1.59	1.59	1.59	1.59	0.9	0.9	0.9	0.9	1.47	1.23	1.47
	1.49	1.3	1.55	1.56	1.56	1.56	1.56	0.88	0.88	0.88	0.88	1.43	1.21	1.43	1.45
	1.28	1.52	1.53	1.53	1.53	1.53	0.87	0.87	0.87	0.87	1.39	1.19	1.39	1.41	1.25
	1.49	1.5	1.5	1.5	1.49	0.85	0.85	0.85	0.85	1.35	1.17	1.35	1.37	1.22	1.46
	1.47	1.47	1.47	1.46	0.84	0.84	0.84	0.84	1.32	1.16	1.32	1.33	1.2	1.43	1.44
	1.44	1.44	1.44	0.82	0.82	0.82	0.82	1.28	1.14	1.28	1.3	1.18	1.4	1.41	1.41
	1.41	1.41	0.81	0.81	0.81	0.81	1.25	1.12	1.25	1.27	1.15	1.38	1.38	1.38	1.38
	1.38	0.79	0.79	0.79	0.79	1.22	1.11	1.22	1.23	1.13	1.35	1.36	1.36	1.36	1.36
	0.78	0.78	0.78	0.78	1.18	1.09	1.18	1.2	1.11	1.33	1.33	1.33	1.33	1.33	0.77
	0.77	0.77	0.77	1.16	1.08	1.16	1.17	1.09	1.3	1.31	1.31	1.31	1.31	0.76	0.76
	0.76	0.76	1.13	1.06	1.13	1.15	1.07	1.28	1.28	1.28	1.28	1.28	0.74	0.74	0.74
	0.74	1.1	1.05	1.1	1.12	1.05	1.26	1.26	1.26	1.26	1.26	0.73	0.73	0.73	0.73
	1.07	1.04	1.07	1.09	1.03	1.24	1.24	1.24	1.24	1.24	0.72	0.72	0.72	0.72	1.05
	1.02	1.05	1.07	1.02	1.22	1.22	1.22	1.22	1.22	0.71	0.71	0.71	0.71	1.02	1.01
	1.02	1.04	1	1.2	1.2	1.2	1.2	1.2	0.7	0.7	0.7	0.7	1	1	1
	1.02	0.98	1.18	1.18	1.18	1.18	1.18	0.69	0.69	0.69	0.69	0.98	1	0.98	1
	0.97	1.16	1.16	1.16	1.16	1.16	0.68	0.68	0.68	0.68	0.96	1	0.96	0.97	0.95
	1.14	1.14	1.14	1.14	1.14	0.67	0.67	0.67	0.67	0.93	1	0.93	0.95	0.94	1.13
	1.13	1.13	1.13	1.13	0.66	0.66	0.66	0.66	0.91	1	0.91	0.93	0.92	1.11	1.11
	1.11	1.11	1.11	0.65	0.65	0.65	0.65	0.89	1	0.89	0.91	0.91	1.09	1.09	1.09
	1.09	1.09	0.64	0.64	0.64	0.64	0.88	1	0.88	0.89	0.9	1.08	1.08	1.08	1.08
	1.08	0.63	0.63	0.63	0.63	0.86	1	0.86	0.87	0.88	1.06	1.06	1.06	1.06	1.06
	0.63	0.63	0.63	0.63	0.84	1	0.84	0.86	0.87	1.05	1.05	1.05	1.05	1.05	0.62
	0.62	0.62	0.62	0.82	1	0.82	0.84	0.86	1.03	1.03	1.03	1.03	1.03	0.61	0.61
	0.61	0.61	0.81	1	0.81	0.82	0.85	1.02	1.02	1.02	1.02	1.02	0.6	0.6	0.6
	0.6	0.79	1	0.79	0.81	0.83	1.01	1	1	1	1	0.6	0.6	0.6	0.6
	0.77	1	0.77	0.79	0.82	0.99	0.99	0.99	0.99	0.99	0.59	0.59	0.59	0.59	0.76
	1	0.76	0.77	0.81	0.98	0.98	0.98	0.98	0.98	0.58	0.58	0.58	0.58	0.74	1
	0.74	0.76	0.8	0.97	0.96	0.96	0.96	0.96	0.57	0.57	0.57	0.57	0.73	1	0.73
	0.75	0.79	0.95	0.95	0.95	0.95	0.95	0.57	0.57	0.57	0.57	0.72	1	0.72	0.73
	0.78	0.94	0.94	0.94	0.94	0.94	0.56	0.56	0.56	0.56	0.7	1	0.7	0.72	0.77
	0.93	0.93	0.93	0.93	0.93	0.55	0.55	0.55	0.55	0.69	1	0.69	0.7	0.76	0.92
	0.91	0.91	0.91	0.91	0.55	0.55	0.55	0.55	0.68	1	0.68	0.69	0.75	0.91	0.9
	0.9	0.9	0.9	0.54	0.54	0.54	0.54	0.66	1.0	0.66	0.68	0.74	0.9	0.89	0.89
	0.89	0.89	0.53	0.53	0.53	0.53	0.65	1.0	0.65	0.67	0.73	0.89	0.88	0.88	0.88
	0.88	0.53	0.53	0.53	0.53	0.64	1.0	0.64	0.66	0.72	0.88	0.87	0.87	0.87	0.87
	0.52	0.52	0.52	0.52	0.63	1.0	0.63	0.64	0.71	0.87	0.86	0.86	0.86	0.86	0.52
	0.52	0.52	0.52	0.62	1.0	0.62	0.63	0.71	0.86	0.85	0.85	0.85	0.85	0.51	0.51
	0.51	0.51	0.61	1.0	0.61	0.62	0.7	0.85	0.84	0.84	0.84	0.84	0.51	0.51	0.51
	0.51	0.6	1.0	0.6	0.61	0.69	0.84	0.83	0.83	0.83	0.83	0.5	0.5	0.5	0.5
	0.59	1.0	0.59	0.6	0.68	0.83	0.82	0.82	0.82	0.82	0.5	0.5	0.5	0.5	0.58
	1.0	0.58	0.59	0.67	0.82	0.81	0.81	0.81	0.81	0.49	0.49	0.49	0.49	0.57	1.0
	0.57	0.58	0.67	0.81	0.8	0.8	0.8	0.8	0.49	0.49	0.49	0.49	0.56	1.0	0.56
	0.57	0.66	0.8	0.79	0.79	0.79	0.8	0.48	0.48	0.48	0.48	0.55	1.0	0.55	0.56
	0.65	0.79	0.79	0.79	0.79	0.79	0.48	0.48	0.48	0.48	0.54	1.0	0.54	0.55	0.65
	0.78	0.78	0.78	0.78	0.78	0.47	0.47	0.47	0.47	0.53	1.0	0.53	0.54	0.64	0.78
	0.77	0.77	0.77	0.77	0.47	0.47	0.47	0.47	0.52	1.0	0.52	0.54	0.63	0.77	0.76
	0.76	0.76	0.76	0.46	0.46	0.46	0.46	0.51	1.0	0.51	0.53	0.63	0.76	0.75	0.75
	0.75	0.75	0.46	0.46	0.46	0.46	0.51	1.0	0.51	0.52	0.62	0.75	0.75	0.75	0.75
	0.75	0.45	0.45	0.45	0.45	0.5	1.0	0.5	0.51	0.61	0.75	0.74	0.74	0.74	0.74
	0.45	0.45	0.45	0.45	0.49	1.0	0.49	0.5	0.61	0.74	0.73	0.73	0.73	0.73	0.45
	0.45	0.45	0.45	0.48	1.0	0.48	0.49	0.61	0.73	0.72	0.72	0.72	0.72	0.45	0.45
	0.45	0.45	0.47	1.0	0.47	0.48	0.59	0.72	0.71	0.71	0.71	0.71	0.44	0.44	0.44
	0.44	0.46	1.0	0.46	0.47	0.58	0.71	0.7	0.7	0.7	0.7	0.43	0.43	0.43	0.43
	0.45	1.0	0.45	0.46	0.58	0.7	0.69	0.69	0.69	0.69	0.43	0.43	0.43	0.43	0.44
	1.0	0.44	0.45	0.57	0.69	0.68	0.68	0.68	0.68	0.42	0.42	0.42	0.42	0.43	1.0
	0.43	0.44	0.56	0.68	0.67	0.67	0.67	0.67	0.42	0.42	0.42	0.42	0.42	1.0	0.42
	0.43	0.56	0.67	0.66	0.66	0.66	0.67	0.41	0.41	0.41	0.41	0.41	1.0	0.41	0.42
	0.55	0.66	0.66	0.66	0.66	0.66	0.41	0.41	0.41	0.41	0.4	1.0	0.4	0.41	0.54
	0.65	0.65	0.65	0.65	0.65	0.4	0.4	0.4	0.4	0.39	1.0	0.39	0.4	0.53	0.64
	0.64	0.64	0.64	0.64	0.4	0.4	0.4	0.4	0.38	1.0	0.38	0.39	0.53	0.63	0.63
