#PVF_File

1	5	5	5	5	127	113	11	14	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0
2	10	10	10	10	210	197	15	42	15	42	0	0	0	0	0	0	0	0	0	0	2	2	0
3	15	15	15	15	298	288	19	83	19	83	0	0	0	0	0	0	0	0	0	0	4	4	0
4	20	20	20	20	392	385	24	139	24	139	0	0	0	0	0	0	0	0	0	0	6	6	0
5	25	25	25	25	492	488	28	208	28	208	0	0	0	0	0	0	0	0	0	0	8	8	0
6	30	30	30	30	597	597	32	291	32	291	1	1	0	0	0	0	0	0	0	0	10	10	0
7	35	35	35	35	710	713	36	388	36	388	1	1	0	0	0	0	0	0	0	0	12	12	0
8	40	40	40	40	829	834	41	499	41	499	1	1	0	0	0	0	0	0	0	0	14	14	0
9	45	45	45	45	955	961	45	624	45	624	1	1	0	0	0	0	0	0	0	0	16	16	0
10	50	50	50	50	1090	1095	49	762	49	762	1	1	0	0	0	0	0	0	0	0	18	18	0
11	55	55	55	55	1232	1234	57	915	57	915	1	1	0	0	0	0	0	0	0	0	20	20	0
12	60	60	60	60	1383	1380	62	1081	62	1081	1	1	0	0	0	0	0	0	0	0	22	22	0
13	65	65	65	65	1543	1531	66	1261	66	1261	1	1	0	0	0	0	0	0	0	0	24	24	0
14	70	70	70	70	1713	1689	71	1455	71	1455	1	1	0	0	0	0	0	0	0	0	26	26	0
15	75	75	75	75	1894	1853	75	1663	75	1663	1	1	0	0	0	0	0	0	0	0	28	28	0
16	80	80	80	80	2086	2023	80	1885	80	1885	2	2	0	0	0	0	0	0	0	0	30	30	0
17	85	85	85	85	2290	2199	84	2121	84	2121	2	2	0	0	0	0	0	0	0	0	32	32	0
18	90	90	90	90	2506	2381	89	2370	89	2370	2	2	0	0	0	0	0	0	0	0	34	34	0
19	95	95	95	95	2737	2569	93	2633	93	2633	2	2	0	0	0	0	0	0	0	0	36	36	0
20	100	100	100	100	2979	2763	98	2911	98	2911	2	2	0	0	0	0	0	0	0	0	38	38	0
21	105	105	105	105	3238	2963	109	3202	109	3202	2	2	0	0	0	0	0	0	0	0	40	40	0
22	110	110	110	110	3514	3170	114	3507	114	3507	2	2	0	0	0	0	0	0	0	0	42	42	0
