#PVF_File

1	5	5	5	5	51	45	11	14	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0
2	10	10	10	10	84	79	15	42	15	42	0	0	0	0	0	0	0	0	0	0	2	2	0
3	15	15	15	15	120	115	19	83	19	83	0	0	0	0	0	0	0	0	0	0	4	4	0
4	20	20	20	20	157	154	24	139	24	139	0	0	0	0	0	0	0	0	0	0	6	6	0
5	25	25	25	25	197	195	28	208	28	208	0	0	0	0	0	0	0	0	0	0	8	8	0
6	30	30	30	30	239	239	32	291	32	291	0	0	0	0	0	0	0	0	0	0	10	10	0
7	35	35	35	35	283	285	36	388	36	388	0	0	0	0	0	0	0	0	0	0	12	12	0
8	40	40	40	40	332	334	41	499	41	499	0	0	0	0	0	0	0	0	0	0	14	14	0
9	45	45	45	45	382	384	45	624	45	624	1	1	0	0	0	0	0	0	0	0	16	16	0
10	50	50	50	50	436	438	49	762	49	762	1	1	0	0	0	0	0	0	0	0	18	18	0
11	55	55	55	55	492	494	57	915	57	915	1	1	0	0	0	0	0	0	0	0	20	20	0
12	60	60	60	60	552	552	62	1081	62	1081	1	1	0	0	0	0	0	0	0	0	22	22	0
13	65	65	65	65	617	613	66	1261	66	1261	1	1	0	0	0	0	0	0	0	0	24	24	0
14	70	70	70	70	685	676	71	1455	71	1455	1	1	0	0	0	0	0	0	0	0	26	26	0
15	75	75	75	75	757	741	75	1663	75	1663	1	1	0	0	0	0	0	0	0	0	28	28	0
16	80	80	80	80	835	809	80	1885	80	1885	1	1	0	0	0	0	0	0	0	0	30	30	0
17	85	85	85	85	915	879	84	2121	84	2121	1	1	0	0	0	0	0	0	0	0	32	32	0
18	90	90	90	90	1003	952	89	2370	89	2370	1	1	0	0	0	0	0	0	0	0	34	34	0
19	95	95	95	95	1094	1028	93	2633	93	2633	1	1	0	0	0	0	0	0	0	0	36	36	0
20	100	100	100	100	1191	1105	98	2911	98	2911	1	1	0	0	0	0	0	0	0	0	38	38	0
21	105	105	105	105	1295	1185	109	3202	109	3202	1	1	0	0	0	0	0	0	0	0	40	40	0
22	110	110	110	110	1405	1268	114	3507	114	3507	1	1	0	0	0	0	0	0	0	0	42	42	0
23	115	115	115	115	1523	1353	119	3825	119	3825	2	2	0	0	0	0	0	0	0	0	44	44	0
24	120	120	120	120	1647	1440	124	4158	124	4158	2	2	0	0	0	0	0	0	0	0	46	46	0
25	125	125	125	125	1778	1530	128	4505	128	4505	2	2	0	0	0	0	0	0	0	0	48	48	0
26	130	130	130	130	1918	1622	133	4865	133	4865	2	2	0	0	0	0	0	0	0	0	50	50	0
27	135	135	135	135	2066	1717	138	5239	138	5239	2	2	0	0	0	0	0	0	0	0	52	52	0
28	140	140	140	140	2224	1814	143	5627	143	5627	2	2	0	0	0	0	0	0	0	0	54	54	0
29	145	145	145	145	2391	1914	148	6029	148	6029	2	2	0	0	0	0	0	0	0	0	56	56	0
30	150	150	150	150	2570	2016	153	6445	153	6445	2	2	0	0	0	0	0	0	0	0	58	58	0
31	155	155	155	155	2760	2120	167	6875	167	6875	2	2	0	0	0	0	0	0	0	0	60	60	0
32	160	160	160	160	2960	2227	172	7318	172	7318	2	2	0	0	0	0	0	0	0	0	62	62	0
33	165	165	165	165	3176	2336	177	7775	177	7775	2	2	0	0	0	0	0	0	0	0	64	64	0
34	170	170	170	170	3404	2448	182	8247	182	8247	2	2	0	0	0	0	0	0	0	0	66	66	0
35	175	175	175	175	3646	2562	187	8732	187	8732	2	2	0	0	0	0	0	0	0	0	68	68	0
36	180	180	180	180	3904	2678	192	9231	192	9231	2	2	0	0	0	0	0	0	0	0	70	70	0
37	185	185	185	185	4180	2797	198	9744	198	9744	3	3	0	0	0	0	0	0	0	0	72	72	0
38	190	190	190	190	4473	2919	203	10270	203	10270	3	3	0	0	0	0	0	0	0	0	74	74	0
39	195	195	195	195	4785	3043	208	10811	208	10811	3	3	0	0	0	0	0	0	0	0	76	76	0
40	200	200	200	200	5117	3169	213	11365	213	11365	3	3	0	0	0	0	0	0	0	0	78	78	0
41	205	205	205	205	5493	3298	230	11933	230	11933	3	3	0	0	0	0	0	0	0	0	80	80	0
42	210	210	210	210	5887	3429	236	12516	236	12516	3	3	0	0	0	0	0	0	0	0	82	82	0
43	215	215	215	215	6299	3562	241	13112	241	13112	3	3	0	0	0	0	0	0	0	0	84	84	0
44	220	220	220	220	6732	3698	246	13721	246	13721	3	3	0	0	0	0	0	0	0	0	86	86	0
45	225	225	225	225	7187	3837	252	14345	252	14345	3	3	0	0	0	0	0	0	0	0	88	88	0
46	230	230	230	230	7662	3978	257	14983	257	14983	3	3	0	0	0	0	0	0	0	0	90	90	0
47	235	235	235	235	8161	4121	263	15634	263	15634	3	3	0	0	0	0	0	0	0	0	92	92	0
48	240	240	240	240	8685	4267	268	16299	268	16299	3	3	0	0	0	0	0	0	0	0	94	94	0
49	245	245	245	245	9233	4415	273	16979	273	16979	3	3	0	0	0	0	0	0	0	0	96	96	0
50	250	250	250	250	9810	4565	279	17672	279	17672	3	3	0	0	0	0	0	0	0	0	98	98	0
51	255	255	255	255	10415	4718	299	18378	299	18378	4	4	0	0	0	0	0	0	0	0	100	100	0
52	260	260	260	260	11048	4874	305	19099	305	19099	4	4	0	0	0	0	0	0	0	0	102	102	0
53	265	265	265	265	11713	5032	311	19834	311	19834	4	4	0	0	0	0	0	0	0	0	104	104	0
54	270	270	270	270	12409	5192	316	20582	316	20582	4	4	0	0	0	0	0	0	0	0	106	106	0
55	275	275	275	275	13140	5355	322	21344	322	21344	6	6	0	0	0	0	0	0	0	0	108	108	0
56	280	280	280	280	13919	5520	328	22121	328	22121	6	6	0	0	0	0	0	0	0	0	110	110	0
57	285	285	285	285	14750	5687	333	22911	333	22911	6	6	0	0	0	0	0	0	0	0	112	112	0
58	290	290	290	290	15635	5857	339	23714	339	23714	6	6	0	0	0	0	0	0	0	0	114	114	0
59	295	295	295	295	16581	6030	345	24532	345	24532	6	6	0	0	0	0	0	0	0	0	116	116	0
60	300	300	300	300	17591	6205	351	25364	351	25364	8	8	0	0	0	0	0	0	0	0	118	118	0
61	305	305	305	305	21471	6382	374	26209	374	26209	8	8	0	0	0	0	0	0	0	0	120	120	0
62	310	310	310	310	22714	6562	380	27069	380	27069	8	8	0	0	0	0	0	0	0	0	122	122	0
63	315	315	315	315	24043	6744	386	27942	386	27942	8	8	0	0	0	0	0	0	0	0	124	124	0
64	320	320	320	320	25468	6928	392	28829	392	28829	8	8	0	0	0	0	0	0	0	0	126	126	0
65	325	325	325	325	26993	7115	398	29730	398	29730	10	10	0	0	0	0	0	0	0	0	128	128	0
66	330	330	330	330	28629	7305	404	30644	404	30644	11	11	0	0	0	0	0	0	0	0	130	130	0
67	335	335	335	335	30383	7497	410	31573	410	31573	11	11	0	0	0	0	0	0	0	0	132	132	0
68	340	340	340	340	32266	7691	416	32516	416	32516	11	11	0	0	0	0	0	0	0	0	134	134	0
69	345	345	345	345	34287	7888	422	33472	422	33472	11	11	0	0	0	0	0	0	0	0	136	136	0
70	350	350	350	350	36461	8087	428	34442	428	34442	11	11	0	0	0	0	0	0	0	0	138	138	0
71	355	355	355	355	38950	8289	434	35426	434	35426	11	11	0	0	0	0	0	0	0	0	140	140	0
72	360	360	360	360	41512	8493	440	36424	440	36424	11	11	0	0	0	0	0	0	0	0	142	142	0
73	365	365	365	365	44208	8699	446	37436	446	37436	11	11	0	0	0	0	0	0	0	0	144	144	0
74	370	370	370	370	47044	8908	452	38462	452	38462	11	11	0	0	0	0	0	0	0	0	146	146	0
75	375	375	375	375	50028	9119	458	39501	458	39501	11	11	0	0	0	0	0	0	0	0	148	148	0
76	380	380	380	380	53167	9333	464	40554	464	40554	11	11	0	0	0	0	0	0	0	0	150	150	0
77	385	385	385	385	56467	9549	470	41622	470	41622	11	11	0	0	0	0	0	0	0	0	152	152	0
78	390	390	390	390	59934	9768	476	42703	476	42703	11	11	0	0	0	0	0	0	0	0	154	154	0
79	395	395	395	395	63578	9989	482	43798	482	43798	11	11	0	0	0	0	0	0	0	0	156	156	0
80	400	400	400	400	67406	10212	488	44906	488	44906	12	12	0	0	0	0	0	0	0	0	158	158	0
81	405	405	405	405	71428	10438	494	46029	494	46029	12	12	0	0	0	0	0	0	0	0	160	160	0
82	410	410	410	410	75649	10667	500	47166	500	47166	12	12	0	0	0	0	0	0	0	0	162	162	0
83	415	415	415	415	80080	10897	506	48316	506	48316	12	12	0	0	0	0	0	0	0	0	164	164	0
84	420	420	420	420	84731	11130	512	49480	512	49480	12	12	0	0	0	0	0	0	0	0	166	166	0
85	425	425	425	425	89612	11366	518	50658	518	50658	12	12	0	0	0	0	0	0	0	0	168	168	0
86	430	430	430	430	94732	11604	524	51850	524	51850	12	12	0	0	0	0	0	0	0	0	170	170	0
87	435	435	435	435	100103	11845	530	53056	530	53056	12	12	0	0	0	0	0	0	0	0	172	172	0
88	440	440	440	440	105735	12088	536	54276	536	54276	12	12	0	0	0	0	0	0	0	0	174	174	0
